case,justice,text,identifier
case-562-594,unknown,california convict steven frank jackson numerous sexual offense stem attack year old woman live apartment complex jackson raise batson assert exercise peremptory challenge exclude black prospective basis race batson versus kentucky u_s black strike serve appendix petition jackson object strike black later explain quoted_text think excusal quoted_text sought dismiss jackson batson motion challenge strike record number cv rjb ed california doc lodge doc offer race neutral explanation strike state age year old frequently stop california police officer view race age quoted_text record number cv rjb ed california doc lodge doc state strike master degree social work intern county jail quoted_text explain dismiss quoted_text state quoted_text document document appendix petition jackson expressly disagree explanation strike appendix petition argue remove basis educational background quoted_text respond aware social worker quoted_text jackson explain quoted_text anticipate response event quoted_text batson motion listen argument court deny jackson motion jackson renew batson direct arguing comparative analysis reveal explanation pretextual respect jackson argue non black negative experience law enforcement remain appendix petition state selection stop drive illinois year early believe quoted_text illinois police target driver california license plate complain disappoint failure law enforcement officer investigate car respect jackson ed ask follow question white concerned educational background strike ask question degree social work appendix petition california court uphold court denial batson motion affirm jackson conviction appellate court explain quoted_text appendix petition internal quotation mark omit california court characterize equivalent quoted_text standard employ federal court people versus alvarez california th respect state reason pretextual court explain quoted_text appendix petition compare court conclude quoted_text court recognize dismissal base social service background quoted_text explain different treatment quoted_text court note quoted_text county jail california deny jackson petition review jackson seek federal habeas relief federal district court properly recognize review jackson govern antiterrorism effective death act aedpa law provide pertinent federal habeas relief grant state court adjudication quoted_text usc consider state court decision review record evidence district court hold california court finding unreasonable appendix petition district court deny jackson petition court reverse paragraph unpublished memorandum opinion court discuss specific fact mention reasoning court reject jackson instead set forth basic background legal principle paragraph court offer conclusory explanation decision quoted_text decision inexplicable unexplained reverse batson issue turn largely quoted_text u_s court entitle quoted_text ibid quoted_text snyder versus louisiana u_s standard direct review federal habeas review aedpa quoted_text quoted_text renico versus lett u_s slip opinion internal quotation mark omit court credit race neutral explanation california court carefully review record length uphold court finding state appellate court decision plainly unreasonable simply basis reach opposite conclusion particularly dismissive manner petition motion leave proceed forma pauperis grant judgment court reverse case remand proceeding consistent opinion ordered,case-562-594:unknown
case-568-17,unknown,state court federal court frequently call apply federal act usc et seq include act national policy favor matter great importance state supreme court adhere correct interpretation legislation oklahoma fail declare noncompetition agreement employment null leave instance state court ignore basic tenet act substantive law decision vacate dispute arise petitioner nitro lift technologies employee nitro lift operator oil gas well provide service enhance production respondent eddie lee howard shane schneider enter confidentiality noncompetition agreement nitro lift contain following quoted_text petition work nitro lift well oklahoma texas arkansas respondent quit begin work nitro lift competitor claim respondent breach noncompetition agreement nitro lift serve demand respondent file district court johnston county oklahoma ask court declare noncompetition agreement null enjoin enforcement court dismiss complaint finding contain valid court party disagreement oklahoma retain respondent order party cause matter resolve application oklahoma west limit enforceability noncompetition agreement nitro lift argue dispute enforceability question rely support court court case interpret faa note buckeye check cashing inc versus cardegna u_s quoted_text record number oklahoma oklahoma persuade hold despite quoted_text quoted_text ok proposition court rely quoted_text bruner versus timberlane manor ltd partnership ok find jurisprudence quoted_text find obstacle review court hold noncompetition agreement quoted_text express oklahoma oklahoma declare decision rest adequate independent state ground case michigan versus long u_s court reliance oklahoma law quoted_text necessarily depend rejection federal quoted_text quoted_text state court howell versus mississippi u_s curiam quote adams versus robertson u_s curiam nitro lift ed decide validity raise federal law basis rely case construe faa quoted_text howell quote baldwin versus reese u_s emphasis add oklahoma acknowledge case nitro lift rely relevant holding choose discount controlling decision conclusion despite court jurisprudence underlying validity purely matter state law state court reason court assert oklahoma decision disregard court precedent faa act quoted_text southland corp versus keating u_s provide quoted_text usc quoted_text southland corp buckeye party commit arbitrate ual dispute mainstay act substantive law attack validity distinct attack validity resolve quoted_text preston versus ferrer u_s prima paint corp versus flood conklin mfg co u_s purpose quoted_text buckeye validity subject initial court validity remainder provision valid decide principle require decision vacate court find contain valid oklahoma hold nonetheless assume role declare noncompetition agreement null state court insist quoted_text permit review quoted_text oklahoma abide faa quoted_text u_s constitution article cl opinion court interpret law quoted_text case hold faa foreclose precisely type quoted_text mobility llc versus concepcion u_s slip opinion state court reason oklahoma quoted_text ancient interpretive principle specific govern general generalia specialibus non derogant apply conflict law equivalent dignity true specific state conflict general federal general specific exception supremacy u_s cl quoted_text marmet health care center inc versus brown u_s curiam slip opinion quote mobility llc slip opinion decide instance covenant compete valid matter applicable state law buckeye u_s foregoing reason petition grant judgment oklahoma vacate case remand proceeding inconsistent opinion ordered,case-568-17:unknown
case-574-21,unknown,day april joshua frost help associate commit series armed robbery state washington main frost drive confederate crime occasion enter house rob perform surveillance anticipation washington charge frost relate offense take stand frost admit involvement claim act closing argument draw near frost lawyer express desire contend state fail meet burden prove frost crime frost act insist defense choose alternative argument explain state law prohibit simultaneously contest element crime present affirmative defense frost lawyer limit summation convict frost count count attempt count count washington sustain frost reject court view state law prohibit frost simultaneously contest criminal argue prevent defense present theory summation say court violate national constitution process assistance state continue improper closing argument qualified error mistake reviewable harmlessness structural error mistake require automatic reversal hear tape confession frost guilt stand receive proper instruction state burden proof state hold error harmless reasonable doubt frost file petition habea usc district court dismiss petition appendix petition court appeals affirm frost versus boening federal court appeals en banc reverse instruct district court grant relief antiterrorism effective death act aedpa court appeals power grant frost habeas washington decision quoted_text quoted_text usc hold washington unreasonably apply clearly establish federal law fail classify court closing argument structural error decision stand assume argument sake court violate constitution clearly establish mistake rank structural error constitutional mistake reversal government demonstrate harmlessness rare type error general quoted_text quoted_text require automatic reversal case clearly require place improper closing argument narrow category claim washington contradict herring versus new york u_s herring hold complete denial summation violate assistance accord herring hold denial amount structural error need opine accuracy interpretation assume herring establish complete denial summation amount structural error clearly establish summation amount structural error court reasonably conclude prohibit argument differ prohibit argument alternative true structural error case quoted_text neder attempt bridge gap herring case cite united states versus miguel federal conde versus henry federal proposition quoted_text federal repeatedly emphasize constitute quoted_text lopez versus smith u_s curiam slip opinion acknowledge rule try past claim quoted_text federal miguel conde arise aedpa purport reflect law clearly establish court holding rely decision parker versus matthews u_s curiam slip opinion rationale court appeals decision sound reason allow argue prove element crime quoted_text defense respond court effect quoted_text federal extract quoted_text continue court quoted_text quoted_text quoted_text quoted_text number court begin prohibit defense argue fail prove element crime instead preclude defense simultaneously contest reasonable doubt claim reasonable mind disagree require defense choose alternative theory amount require defense concede guilt disagree amount eliminate burden proof shift burden direct addition court ruling quoted_text defense quoted_text basis rule go far suggest case clearly establish suppose extraction quoted_text structural error classify introduction coerced confession error arizona versus fulminante u_s frost argue reasonable state treat improper summation error unreasonable find harmlessness fact case court appeals address argument sit en banc today grant petition motion proceed forma pauperis reverse judgment court appeals case proceeding consistent opinion ordered,case-574-21:unknown
case-577-14-848,unknown,hold right require effective state federal prosecution unable afford gideon versus wainwright u_s ineffective performance deficient mean error quoted_text long function quoted_text prejudicial meaning error deprive fair apply standard court appeals maryland hold james kulbicki defense ineffective summarily reverse kulbicki shoot year old mistress head pointblank range ensnarl paternity killing occur weekend scheduled hearing unpaid child support kulbicki commencing ernest peele fbi testify state expert comparative bullet lead analysis cbla sort cbla expert provide decade peele testify composition element molten lead bullet fragment find kulbicki truck match composition lead bullet fragment remove victim brain similarity sort quoted_text quoted_text maryland testify bullet take kulbicki gun quoted_text match bullet fragment similar bullet likely come package consider ballistic evidence additional physical evidence kulbicki truck convict kulbicki degree murder kulbicki file petition post relief linger state court kulbicki add defense ineffective fail question legitimacy cbla year cbla fall favor kulbicki supplement petition court appeals maryland hold time cbla evidence generally accept scientific community inadmissible clemons versus state maryland kulbicki lose low state court appeal court appeals maryland point kulbicki abandon ineffective assistance respect cbla evidence high court vacate kulbicki ground kulbicki accord court find report coauthore peele quoted_text maryland finding report composition lead bullet lead bullet package month later separate box conduct quoted_text author quoted_text coincidence case likelihood separately package bullet originate source lead cause overlap court appeals opine lone finding cause report author doubt quoted_text faulty assumption ultimately lead court reject cbla evidence year later clemons author quoted_text court appeals conclude quoted_text maryland court appeals view good spot methodological flaw court hold failure unearth report identify finding quoted_text use methodological flaw cast doubt cbla cross examination peele quoted_text concluding suppose deficiency prejudicial court set aside order new reverse court appeals offer support conclusion kulbicki defense require predict demise cbla instead court indulge quoted_text lockhart versus fretwell u_s combat tendency quoted_text ibid court appeals heed rule quoted_text strickland time kulbicki validity cbla widely accept court regularly admit cbla evidence united states versus higgs federal court appeals acknowledge report question validity cbla conclude valid useful forensic tool match suspect victim perform deficiently dedicate time focus element defense involve poke methodological hole uncontroversial mode ballistic analysis especially case reason believe diligent search discover supposedly crucial report court appeals offer single support sweeping statement report quoted_text kulbicki government printing office web page access court appeals apparently conduct internet research nearly decade opposition web page indicate compilation forensic study include report quoted_text maryland era card catalogue worldwide web effort expend find compilation find comb entire compilation identify finding report disregard recognize quoted_text effective bring attention report conclusion cbla valid investigative technique case like kulbicki court appeals kulbicki answer give uncontroversial nature cbla time kulbicki effect judgment demand lawyer quoted_text quoted_text rompilla versus beard u_s court appeals demand close quoted_text far quoted_text right guarantee kulbicki provide deficient performance fail uncover report use report call methodological flaw peele cross examination need decide suppose error prejudice kulbicki petition grant judgment court appeals maryland reverse ordered,case-577-14-848:unknown
case-575-14-939,unknown,christopher barkes quoted_text arrest november violate barkes take howard young correctional institution wilmington delaware barkes intake nurse work provide healthcare institution conduct medical evaluation evaluation include mental health screening design assess inmate suicidal nurse employ screening form base model form develop national commission correctional health care ncchc form list risk factor inmate response nurse observation indicate present certain risk factor present nurse notify physician initiate prevention measure barkes disclose history psychiatric treatment medication disclose attempt far record indicate occasion indicate currently think kill risk factor apparent nurse give barkes quoted_text referral mental health service initiate special prevention measure barkes place cell despite tell nurse evening call wife tell quoted_text go kill barkes wife inform institution morning correctional officer observe barkes awake behave normally officer arrive deliver lunch discover barkes hang sheet barkes wife child respondent bring review usc entity individual connect institution ed violate barkes civil right fail prevent issue petitioner stanley taylor commissioner delaware department correction raphael williams institution warden undisputed petitioner personally interact barkes know condition death respondent allege taylor williams violate barkes constitutional right free cruel unusual punishment accord respondent fail supervise monitor private provide medical treatment include intake screening institution petitioners move summary judgment ground entitle qualified immunity district court deny motion divide court appeals affirm majority determine respondent allege cognizable theory supervisory decision express view majority turn step qualified immunity inquiry ask quoted_text take question reverse hold clearly establish time barkes death incarcerate individual amendment quoted_text majority conclude material factual dispute petitioner violate right fail adequately supervise provide medical service prison evidence majority note medical screening process comply ncchc late standard require standard allegedly call revise screening form screen qualified mental health professional nurse evidence access barkes record shed light mental health history short staffing increase profit hardiman dissent relevant conclude petitioner entitle qualified immunity right majority rely quoted_text taylor williams petition grant petition reverse ground violation clearly established law quoted_text bracket internal quotation mark omit ashcroft versus al kidd u_s slip opinion internal quotation mark omit conclude right issue well define quoted_text federal purported right clearly establish november way place debate institution procedure implement medical decision court establish right theproper implementation adequate prevention protocol decision court discuss screening prevention protocol quoted_text courts appeals quoted_text city county san francisco versus sheehan u_s slip opinion weight authority time barkes death suggest right exist comstock versus mccrary federal quoted_text internal quotation mark omit comm federal allege quoted_text quoted_text burn versus galveston federal reject proposition quoted_text belcher versus oliver federal quoted_text nonetheless find right clearly establish decision stem case assume sake argument right quoted_text despite disagreement court appeal decision rely clearly establish right issue colburn say official quoted_text obligation quoted_text colburn versus upper darby twp federal decision detention facility implement procedure identify vulnerable inmate let specify procedure suffice later acknowledge colburn use phrase quoted_text nod screening requirement kind erroneous light farmer versus brennan u_s hold amendment require actual awareness risk serafin versus johnstown federal ppendix colburnhave petitioner notice possible constitutional violation official know inmate particular vulnerability recklessly indifferent vulnerability identify minimum screening procedure prevention protocol facility use fact colburnrevealed booking process jail issue quoted_text ibid rule defendant short institution screening prevention measure contain shortcoming respondent allege book november clear petitioner oversee system violate constitution petitioner contravene clearly establish law entitle qualified immunity judgment reverse ed,case-575-14-939:unknown
case-562-1,unknown,federal court issue habea state prisoner confinement violate federal law court appeals grant find violation vacate judgment joseph corcoran shoot kill man include brother sister fianc indiana find count murder find statutory aggravating circumstance multiple murder unanimously recommend agree death indiana vacate concern violate indiana law rely partly nonstatutory aggravating factor impose death address sentence court remark quoted_text quote accord indiana reference innocence victim heinousness offense future dangerousness necessarily improper permissible provide quoted_text ibid internal quotation mark omit court mean weigh factor aggravating circumstance indiana ed resentence ibid court issue revise sentencing write quoted_text corcoran versus state indiana quote objection accepted explanation affirm explain quoted_text later apply united states district court northern district indiana habeas habeas petition assert number ground relief include renew notwithstanding assurance contrary court improperly rely nonstatutory aggravating factor assert reliance violate amendments response petition state specifically dispute contention district court need resolve dispute grant habeas relief wholly different ground death table exchange waiver violate amendment address sentencing challenge quoted_text grant habeas relief state ed reverse district court amendment ruling evidently overlook remain sentencing ed case district court quoted_text correct oversight grant vacate judgment explain court appeals quoted_text slip opinion opportunity briefing party court appeals change course grant habeas relief determine sentencing challenge waive failure include original cross conclude satisfied plain error review explain quoted_text unsatisfied court rely aggravating factor authorize indiana law court revise sentencing say nonstatutory factor heinousness victim innocence future dangerousness determine weight give aggravator multiple murder conclude indiana quoted_text accept court rely factor aggravating circumstance quote usc require indiana court reconsider sentencing quoted_text federal noncompliance federal law render state criminal judgment susceptible attack federal court habea unambiguously provide federal court issue state prisoner quoted_text usc repeatedly hold quoted_text estelle versus mcguire u_s quote lewis versus jeffers u_s opinion contain hint think violation indiana law unearth entail infringement federal right court frame quoted_text federal emphasis add explicitly acknowledge quoted_text citation omit suffice court appeals find unreasonable fact usc provision allow habeas petitioner avoid bar habeas relief impose respect federal adjudicate merit state court show state court decision quoted_text repeal command habeas relief afford state prisoner quoted_text custody violate federal law response opinion state file petition rehearing rehear en banc state petition argue err grant relief absence federal violation contend authority opinion wainwright versus goode u_s curiam court appeals err guess indiana factual court comply indiana law deny rehearing amend opinion include language quoted_text appendix petition amendment cure defect note habeas petitioner assert existence constitutional violation federal court agree assertion grant relief opinion reflect agreement articulate federal right allegedly infringe fact possible federal court maintain violate federal law indiana adopt rule authorize court lieu find describe constitutional error amend opinion say state quoted_text appendix petition clear language mean mean state forfeit position allegation state constitutional violation observe state explicitly dispute point district court forum subject raise lead court appeals conclude waive entirely suggestion state concede existence federal right accordance indiana law circumstance improper court appeals issue conclude violation federal law establish petition motion leave proceed forma pauperis grant judgment court appeals vacate case ed proceeding consistent opinion express view merit habeas petition ed,case-562-1:unknown
case-575-14-593,unknown,petitioner torrey dale grady convict north carolina court degree sexual offense take indecent liberty child serve crime grady ed appear new hanover county superior court hearing determine subject satellite base monitoring recidivist sex offender gen annotation grady dispute prior conviction render recidivist relevant north carolina argue monitoring program force wear tracking device time violate amendment right free unreasonable search seizure unpersuade court ed grady enroll program monitor rest life record number coa application page grady renew amendment challenge rely court decision united states versus jones u_s case court hold police officer engage search meaning amendment instal monitor global positioning system tracking device suspect car north carolina court appeals reject grady argument conclude foreclose early decision appendix petition decision coincidentally name state versus jones court say essentially argue affix gps individual vehicle constitute search individual arguably intrusive act affix ankle bracelet individual constitute search individual disagree context present instant case involve civil sbm proceeding readily distinguishable present united states jones court consider propriety search context motion suppress evidence conclude specific holding united states jones control case court grady case hold bind reasoning reject amendment challenge appendix petition north carolina turn summarily dismiss grady deny petition discretionary review grady ask reverse decision explanation provide rejection grady challenge quote passage state versus jones theory discern passage state system nonconsensual satellite base monitoring entail search meaning amendment theory inconsistent court precedent united states versus jones hold government installation gps device target vehicle use device monitor vehicle movement constitute search u_s slip opinion omit stress importance fact government physically occupy private purpose obtain information circumstance necessary inquire target expectation privacy vehicle movement determine amendment search occur government obtain information physically intrude protect area search undoubtedly occur reaffirm principle florida versus jardines u_s slip opinion hold have drug sniff dog nose suspect porch search police gather information physically enter occupy curtilage house engage conduct explicitly implicitly permit homeowner slip opinion search occur government gain evidence physically intrude protect area light decision follow state conduct search attach device person body purpose track individual movement conclude north carolina court appeals apparently place decisive weight fact state monitoring program civil nature jones application instant case involve civil sbm proceed settle amendment protection extend sphere criminal investigation ontario versus quon u_s government purpose collect information control method collection constitute search building inspector enter home simply ensure compliance civil safety regulation undoubtedly conduct search amendment camara versus municipal court city county san francisco u_s housing inspection administrative search comply amendment opposition state fault grady fail introduce evidence state implementation sbm program information currently obtain monitoring process evidence act obtain information state argue basis court determine north carolina conduct search offender enrol sbm program cite jones u_s slip opinion note government intrusion search obtain information word state argue sure program satellite base monitoring sex offender collect information program suffice rebut contention text surely satellite base monitoring program shall use system provide follow time correlate continuous tracking geographic location subject reporting subject violation prescriptive proscriptive schedule location requirement state program plainly design obtain information physically intrude subject body effect amendment search conclusion decide ultimate question program amendment prohibit unreasonable search reasonableness search depend totality circumstance include nature purpose search extent search intrude reasonable privacy expectation samson versus california u_s suspicionless search parolee reasonable ernonia school district versus acton u_s random drug testing student athlete reasonable north carolina court examine state monitoring program reasonable properly view search instance petition grant judgment north carolina vacate case remand proceeding inconsistent opinion ed notes grady aim petition decision north carolina appellate court petition treat north carolina dismissal lack substantial constitutional question decision merit court judgment judgment court appeals subject review usc reynolds tobacco co versus durham county u_s,case-575-14-593:unknown
case-577-15-648,unknown,georgia court enter final judgment make petitioner ersus legal parent child raise birth ersus later separate live alabama ersus ask alabama court enforce georgia judgment grant custody visitation right alabama rule hold faith credit united states constitution require alabama court respect georgia judgment judgment alabama reverse summary disposition woman relationship approximately assist reproductive technology give birth child name twin name child bear ersus raise joint parent ersus eventually decide legal relationship ersus child have ersus formally adopt facilitate couple rent house alpharetta georgia ersus file petition superior court fulton county georgia appear proceeding relinquish parental right give express ersus child parent georgia court determine ersus comply applicable requirement georgia law enter final allow ersus adopt child recognize ersus legal parent ersus end relationship live alabama ersus move house couple share ersus later file petition court jefferson county alabama allege deny access child interfere ability exercise parental right ask alabama court register georgia judgment award measure custody visitation right matter transfer family court jefferson county court enter award ersus schedule visitation child appeal visitation alabama court civil appeals argue point alabama court recognize georgia judgment georgia court lack subject matter enter court civil appeals reject argument hold alabama family court err fail conduct evidentiary hearing award ersus visitation right remand family court conduct hearing alabama reverse hold georgia court subject matter georgia law enter judgment allow ersus adopt child recognize parental right consequence alabama hold alabama court require accord faith credit georgia judgment constitution provide quoted_text u_s constitution article require state recognize effect valid judgment render court sister states serve quoted_text milwaukee county versus white co u_s respect judgment quoted_text baker versus general motors corp u_s state disregard judgment sister state disagree reasoning underlie judgment deem wrong merit contrary quoted_text milliken versus meyer u_s state require afford faith credit judgment render court al inquiry limited quoted_text milliken quote adam versus saenger u_s principle resolve case provision face give georgia superior court subject matter hear decide petition issue superior court resolve matter enter final judgment ersus legal child merit judgment statutory grant quoted_text ibid georgia court quoted_text require entitle judgment faith credit baker alabama reach different result rely georgia code annotation state relevant quoted_text alabama conclude provision prohibit georgia superior court allow ersus adopt child allow exist parental right conclude provision go merit georgia court subject matter reach crucial conclusion alabama rely solely fact right georgia law purely statutory quoted_text appendix petition quoting marks georgia application analysis consistent court controlling judgment indicate face render court competent quoted_text milliken quote adam rebut presumption georgia alabama rely georgia code annotation speak al term instance georgia court quoted_text exist parent surrender parental right georgia georgia appellate court construe al construction difficult reconcile georgia law georgia recognize general subject matter address quoted_text goodrum versus goodrum georgia court grant relief give case unlike expressly give georgia quoted_text speak court power decide general class case provide rule decision apply determine particular allow section al quoted_text quoted_text appendix petition quote marks court quoted_text gonzalez versus thaler u_s slip opinion internal quotation mark ellipsis omit alabama reasoning al requirement georgia georgia law indicate requirement mandatory strictly construe result comport georgia law common sense justice holmes observe century ago quoted_text fauntleroy versus lum u_s case especially faith credit concern court quoted_text time honor rule control georgia judgment appear face issue court establish georgia law contrary follow alabama err refuse grant judgment faith credit petition grant judgment alabama reverse case remand proceeding inconsistent opinion ed,case-577-15-648:unknown
case-565-520,unknown,james lambert convict sentence death murder patron prince lounge philadelphia pennsylvania commonwealth primary es lambert bernard jackson admit involve identify bruce reese lambert accomplice year later lambert bring postconviction relief pennsylvania state court allege commonwealth fail disclose inter alia quoted_text violation brady versus maryland u_s document date october note photo display contain picture individual name lawrence woodlock show es prince lounge quoted_text exhibit application opposition document note quoted_text jackson custody time charge admit involvement armed robbery bar activity sheet indicate jackson reference prince lounge crime sheet bear name law enforcement officer involve investigation prince lounge bear name murder victim police case number murder commonwealth identify evidence woodlock investigate photo show lambert ed activity sheet exculpatory suggest addition jackson reese involve prince lounge crime lambert argue activity sheet impeach jackson statement attribute jackson suggest jackson identify woodlock participant prior identify lambert commonwealth counter assert quoted_text jackson reflect activity sheet fact quoted_text ibid commonwealth argue notation simply indicate jackson name woodlock quoted_text incident specify woodlock say involve prince lounge dozen robbery jackson admit participate regard commonwealth note woodlock mention police record proceeding jackson statement prince lounge commonwealth quoted_text reply opposition commonwealth quoted_text document advance impeachment jackson extensively impeach accord commonwealth quoted_text discredit jackson pennsylvania agree commonwealth unanimously reject lambert brady hold dispute document material court conclude reasonable probability result lambert different document disclose strickler versus greene u_s call lambert reference woodlock quoted_text mean involve prince lounge quoted_text court note quoted_text pennsylvania quoted_text court continue document quoted_text ibid lambert file petition habeas eastern district pennsylvania usc ing inter alia commonwealth failure disclose document violate right brady district court deny holding state court notation quoted_text quoted_text lambert versus beard civil number july appendix petition court explain quoted_text court appeals reverse grant conclude quoted_text pennsylvania presume impeach manner impeachment evidence immaterial accord notation jackson identify woodlock quoted_text quoted_text rely fact jackson consistently name lambert participant commonwealth petition antiterrorism effective death act aedpa preclude federal court grant habeas state prisoner state court adjudication quoted_text usc case overlook state court notation district court quoted_text instead quoted_text appendix petition instead focus solely alternative ground impeachment value obtain notation cumulative conclusion state court content document reasonable necessarily correct reasonable court cumulative impeachment evidence point failure address quoted_text nature notation quoted_text nature lambert reading especially surprising give basis district court ruling court appeals order lambert convict capital murder nearly year ago set free commonwealth retry day police activity sheet note jackson identify woodlock quoted_text bear information associate sheet prince lounge court appeals fail address state court ruling reference woodlock ambiguous connection prince lounge speculative ruling opine reasonable give activity sheet explicitly link woodlock prince lounge jackson commit dozen robbery jackson hold charge activity sheet prepare woodlock appear prince lounge file es prince lounge show woodlock photo identify involve crime place decade crime pose daunting difficulty burden impose ground support state court decision examine find unreasonable aedpa petition motion proceed forma pauperis grant judgment court appeals vacate case remand proceeding consistent opinion order dissent emphasize activity sheet prepare investigation prince lounge crime dispute ambiguity issue concern jackson statement refer crime dissent find quoted_text state court believe jackson reference woodlock quoted_text post pennsylvania recognize commonwealth argument jackson name woodlock codefendant conclude quoted_text commonwealth versus lambert pennsylvania state court ruling address conclusion impeachment evidence cumulative state court introduce quoted_text confirm alternative basis decision district court certainly understand state court decision consider reference ambiguous appendix petition,case-565-520:unknown
case-578-15-723,unknown,fall michigan law enforcement receive anonymous tip white male travel detroit grand rapids white audi possibly carry cocaine officer spot vehicle match description pull speed timothy etherton drive ryan pollie passenger seat search car uncover gram cocaine compartment driver door etherton pollie ed etherton try state court single count intent deliver cocaine fact reflect tip contest central point contention instead cocaine belong etherton pollie pollie testify pursuant agreement accompany etherton grand rapids detroit know etherton intend obtain cocaine accord pollie pair arrive detroit etherton leave restaurant drive return minute later head grand rapids etherton reveal obtain drug call police officer officer describe content anonymous tip lead etherton recounting tip etherton object hearsay ground objection resolve agree close describe tip court instruct quoted_text admit quoted_text appendix petition convict etherton affirm direct michigan deny leave etherton seek post relief state court ground relevant anonymous tip violate right confrontation amendment ineffective fail object tip ground direct ineffective fail raise confrontation ineffective assistance state habeas court reject procedural ground merit prevail ineffective assistance appellate state court explain etherton demonstrate quoted_text appendix petition state court conclude etherton fail count court reason appellate reasonably forgo confrontation conclude failure object product ineffectiveness strategy etherton current argue object tip reference quoted_text suggest involvement etherton outset opposition reference suggest pollie prior involvement contrary etherton pick cocaine state court explain object consistent quoted_text appendix petition court determine etherton prejudice choice quoted_text guilt quoted_text case etherton allegation court conclude ultimately fail overcome presumption appellate function reasonably pursue confrontation ineffectiveness michigan court appeals michigan deny leave etherton seek federal habeas relief antiterrorism effective death act aedpa federal habeas relief available state court decision quoted_text usc quoted_text harrington versus richter u_s quote yarborough versus alvarado u_s state court decision quoted_text white versus woodall u_s slip opinion internal quotation mark omit issue ineffective assistance aedpa review quoted_text cullen versus pinholster u_s quoted_text burt versus titlow u_s slip opinion quote strickland versus washington u_s internal quotation mark omit circumstance federal court afford quoted_text burt slip opinion district court deny relief court appeals reverse relevant dissent kethledge majority conclude etherton appellate ineffective fairminded jurist conclude rule merit court holding ineffective disagree fairminded jurist reach contrary conclusion reverse find ineffective majority conclude etherton right confrontation violate confrontation prohibit court statement admit truth determine content tip admit truth tip reference different witness mention closing argument quoted_text majority conclude quoted_text federal majority find etherton prejudice violation show etherton state court obtain relief forfeit confrontation objection people versus carines michigan showing prejudice require overcome ineffectiveness strickland showing prejudice require demonstrate ineffective assistance find prejudice majority acknowledge evidence etherton guilt cocaine find driver compartment inch etherton own car drive time accord majority evidence convict etherton absent pollie tip come quoted_text state quoted_text federal reach conclusion apply appropriate standard review aedpa quoted_text conclude repetition tip establish uncontested fact convey submit truth jurist reach conclusion place weight fact truth fact dispute court clearly foreclose view realm possibility fairminded jurist conclude etherton prejudiced tip pollie correspond uncontested fact pollie privy information contain tip reasonable regard fact tip pollie correspond unremarkable pertinent pollie credibility fact point pollie actually reflect tip etherton travel detroit grand rapids etherton underlie complaint appellate lawyer ineffectiveness mean quoted_text opposition objectively unreasonable fairminded conclude especially light deference afford strickland failure raise incompetence fact tip uncontested event consistent etherton defense harrington u_s quoted_text fairminded jurist similarly conclude defer strickland appellate incompetent draw conclusion reach final point issue fairminded jurist apply deference state court aedpa certainly conclude court objectively unreasonable decide appellate incompetent strickland determine incompetent strickland give aedpa etherton appellate state habeas court afford benefit doubt burt fail count grant petition reverse judgment court appeals ordered,case-578-15-723:unknown
